City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Healdsburg,38.6105,-122.8692,48.92,87,100,0.0,US,2023-01-15 06:36:02
68,Yar-Sale,66.8333,70.8333,4.62,96,100,11.48,RU,2023-01-15 06:38:39
69,Port Elizabeth,-33.918,25.5701,72.32,86,75,6.91,ZA,2023-01-15 06:38:39
70,Nizwa,22.9333,57.5333,71.94,37,0,4.34,OM,2023-01-15 06:38:40
71,Kathmandu,27.7167,85.3167,62.82,34,20,3.44,NP,2023-01-15 06:38:40
72,Bambous Virieux,-20.3428,57.7575,84.45,65,75,16.11,MU,2023-01-15 06:38:41
73,Magadan,59.5667,150.8,-7.51,83,100,13.69,RU,2023-01-15 06:34:24
74,Izhma,65.0083,53.9113,28.17,96,100,11.34,RU,2023-01-15 06:38:42
75,Ponta Do Sol,32.6667,-17.1,62.01,70,77,5.95,PT,2023-01-15 06:38:42
76,Mantsala,60.6609,25.2838,37.08,88,100,14.23,FI,2023-01-15 06:38:42
77,Lebu,-37.6167,-73.65,54.64,88,3,17.11,CL,2023-01-15 06:38:43
78,Quatre Cocos,-20.2078,57.7625,84.31,74,20,14.34,MU,2023-01-15 06:38:43
79,Alanya,36.5438,31.9998,53.73,47,100,2.84,TR,2023-01-15 06:38:44
80,Qaanaaq,77.484,-69.3632,-3.48,67,93,8.21,GL,2023-01-15 06:38:44
81,Cabra,37.4725,-4.4421,44.71,77,100,2.21,ES,2023-01-15 06:38:45
82,Port Alfred,-33.5906,26.891,71.19,92,99,7.85,ZA,2023-01-15 06:38:45
83,East London,-33.0153,27.9116,77.94,69,20,3.44,ZA,2023-01-15 06:38:45
84,Mataura,-46.1927,168.8643,71.71,58,28,4.16,NZ,2023-01-15 06:38:46
85,Lata,40.1629,-8.3327,54.81,93,100,5.93,PT,2023-01-15 06:38:46
86,Gunjur,13.2019,-16.7339,64.47,72,0,3.44,GM,2023-01-15 06:38:47
87,Quzhou,28.9594,118.8686,35.4,95,100,6.62,CN,2023-01-15 06:38:47
88,Goias,-15.5807,-49.6362,67.28,95,85,2.64,BR,2023-01-15 06:38:48
89,Hithadhoo,-0.6,73.0833,80.42,66,100,7.76,MV,2023-01-15 06:38:48
90,Puerto Ayora,-0.7393,-90.3518,74.55,95,100,1.99,EC,2023-01-15 06:39:49
91,Lere,10.387,8.5726,62.92,27,4,6.67,NG,2023-01-15 06:36:05
92,Karratha,-20.7377,116.8463,89.31,56,8,15.55,AU,2023-01-15 06:39:49
93,Emerald,-23.5333,148.1667,68.43,96,100,13.49,AU,2023-01-15 06:39:50
94,Punta Arenas,-53.15,-70.9167,50.11,71,75,20.71,CL,2023-01-15 06:39:50
95,Grindavik,63.8424,-22.4338,19.87,58,0,12.66,IS,2023-01-15 06:39:51
96,Santa Cruz Cabralia,-16.2781,-39.0247,77.23,83,40,3.44,BR,2023-01-15 06:39:51
97,Ayolas,-27.4,-56.9,66.2,80,1,3.2,PY,2023-01-15 06:39:52
98,Kasungu,-13.0333,33.4833,68.88,89,96,8.03,MW,2023-01-15 06:39:52
99,Asfi,32.2994,-9.2372,54.86,84,1,10.69,MA,2023-01-15 06:39:52
100,Priargunsk,50.3691,119.1012,-20.51,96,5,2.64,RU,2023-01-15 06:39:53
101,Castro,-24.7911,-50.0119,63.41,96,98,2.33,BR,2023-01-15 06:39:54
102,Ovalle,-30.5983,-71.2003,65.95,65,0,2.53,CL,2023-01-15 06:39:54
103,Hasaki,35.7333,140.8333,53.22,76,100,15.19,JP,2023-01-15 06:39:54
104,Bethel,41.3712,-73.414,28.71,75,75,11.5,US,2023-01-15 06:37:09
105,Taoudenni,22.6783,-3.9836,58.53,26,0,11.21,ML,2023-01-15 06:39:55
106,Verkhnyaya Inta,65.9811,60.3094,24.33,94,100,17.52,RU,2023-01-15 06:39:55
107,Port Lincoln,-34.7333,135.8667,69.71,51,100,13.51,AU,2023-01-15 06:39:56
108,Tanete,-3.9443,119.7848,86.74,61,100,11.03,ID,2023-01-15 06:39:56
109,Puerto Colombia,10.9878,-74.9547,78.89,84,100,20.29,CO,2023-01-15 06:39:57
110,Marechal Candido Rondon,-24.5561,-54.0567,68.49,95,100,3.11,BR,2023-01-15 06:39:37
111,Chuy,-33.6971,-53.4616,62.89,73,11,4.25,UY,2023-01-15 06:39:57
112,Carnarvon,-24.8667,113.6333,82.33,56,0,11.92,AU,2023-01-15 06:39:58
113,Luderitz,-26.6481,15.1594,69.98,63,0,3.74,NA,2023-01-15 06:39:58
